ID	Glosa	casos
C252 	TUMOR MALIGNO DE LA COLA DEL PANCREAS TUMOR MALIGNO DE LA COLA DEL PÁNCREAS	421
C253 	TUMOR MALIGNO DEL CONDUCTO PANCREATICO TUMOR MALIGNO DEL CONDUCTO PANCREÁTICO	37
C254 	TUMOR MALIGNO DEL PANCREAS ENDOCRINO TUMOR MALIGNO DEL PÁNCREAS ENDOCRINO	431
C257 	TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PÁNCREAS	211
C258 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DEL PANCREAS LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DEL PÁNCREAS	271
C259 	TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA TUMOR MALIGNO DEL PÁNCREAS, PARTE NO ESPECIFICADA	9298
C300 	TUMOR MALIGNO DE LA FOSA NASAL	352
C301 	TUMOR MALIGNO DEL OIDO MEDIO TUMOR MALIGNO DEL OÍDO MEDIO	61
C310 	TUMOR MALIGNO DEL SENO MAXILAR	285
C311 	TUMOR MALIGNO DEL SENO ETMOIDAL	119
C312 	TUMOR MALIGNO DEL SENO FRONTAL	13
C313 	TUMOR MALIGNO DEL SENO ESFENOIDAL	36
C318 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES	28
C319 	TUMOR MALIGNO DE SENO PARANASAL NO ESPECIFICADO	105
C320 	TUMOR MALIGNO DE LA GLOTIS	390
C321 	TUMOR MALIGNO DE LA REGION SUPRAGLOTICA TUMOR MALIGNO DE LA REGIÓN SUPRAGLOTICA	145
C322 	TUMOR MALIGNO DE LA REGION SUBGLOTICA TUMOR MALIGNO DE LA REGIÓN SUBGLOTICA	46
C323 	TUMOR MALIGNO DEL CARTILAGO LARINGEO TUMOR MALIGNO DEL CARTÍLAGO LARÍNGEO	71
C328 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DE LA LARINGE LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DE LA LARINGE	42
C329 	TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA	2918
C33X 	TUMOR MALIGNO DE LA TRAQUEA TUMOR MALIGNO DE LA TRÁQUEA	115
C340 	TUMOR MALIGNO DEL BRONQUIO PRINCIPAL	888
C341 	TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON TUMOR MALIGNO DEL LÓBULO SUPERIOR, BRONQUIO O PULMÓN	2582
C342 	TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON TUMOR MALIGNO DEL LÓBULO MEDIO, BRONQUIO O PULMÓN	295
C343 	TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON TUMOR MALIGNO DEL LÓBULO INFERIOR, BRONQUIO O PULMÓN	1597
C348 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMÓN	326
C349 	TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMÓN, PARTE NO ESPECIFICADA	25379
C37X 	TUMOR MALIGNO DEL TIMO	381
C440 	TUMOR MALIGNO DE LA PIEL DEL LABIO	479
C441 	TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL	953
C442 	TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO	938
C443 	TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA	4392
C444 	TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO	981
C445 	TUMOR MALIGNO DE LA PIEL DEL TRONCO	743
C446 	TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO	447
C447 	TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA	611
C448 	LESION (NEOPLASICA) DE SITIOS CONTIGUOS DE LA PIEL (CUALQUIER LOCALIZACION) LESIÓN (NEOPLASICA) DE SITIOS CONTIGUOS DE LA PIEL (CUALQUIER LOCALIZACIÓN)	718
C449 	TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO	2932
C450 	MESOTELIOMA DE LA PLEURA	552
C451 	MESOTELIOMA DEL PERITONEO	43
C452 	MESOTELIOMA DEL PERICARDIO	11
C457 	MESOTELIOMA DE OTROS SITIOS ESPECIFICADOS	50
C459 	MESOTELIOMA, DE SITIO NO ESPECIFICADO	258
C770 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIOS LINFATICOS DE CABEZA, CARA Y CUELLO TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIOS LINFÁTICOS DE CABEZA, CARA Y CUELLO	406
C771 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFATICOS INTRATORACICOS TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFÁTICOS INTRATORACICOS	119
C772 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFATICOS INTRAABDOMINALES TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFÁTICOS INTRAABDOMINALES	411
C773 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIOS LINFATICOS DE AXILA Y MIEMBRO SUP. TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIOS LINFÁTICOS DE AXILA Y MIEMBRO SUP.	147
C774 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIOS LINFAT. REG. INGUINAL Y MIEMBRO INF.	102
C775 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFATICOS DE LA PELVIS TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFÁTICOS DE LA PELVIS	51
C778 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFATICOS DE REGIONES MULTIPLES TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE LOS GANGLIOS LINFÁTICOS DE REGIONES MÚLTIPLES	22
C779 	TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIO LINFATICO, SITIO NO ESPECIFICADO TUMOR MALIGNO (SECUNDARIO O NO ESPECIFICADO) DE GANGLIO LINFÁTICO, SITIO NO ESPECIFICADO	102
C780 	TUMOR MALIGNO SECUNDARIO DEL PULMON TUMOR MALIGNO SECUNDARIO DEL PULMÓN	2710
C781 	TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO	117
C782 	TUMOR MALIGNO SECUNDARIO DE LA PLEURA	1414
C783 	TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS	71
C784 	TUMOR MALIGNO SECUNDARIO DEL INTESTINO DELGADO	95
C785 	TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO	881
C786 	TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO	2443
C787 	TUMOR MALIGNO SECUNDARIO DEL HIGADO Y CONDUCTO BILIAR INTRAHEPATICO TUMOR MALIGNO SECUNDARIO DEL HÍGADO Y CONDUCTO BILIAR INTRAHEPÁTICO	1974
C788 	TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS	1322
C790 	TUMOR MALIGNO SECUNDARIO DEL RIÑON Y DE LA PELVIS RENAL TUMOR MALIGNO SECUNDARIO DEL RIÑÓN Y DE LA PELVIS RENAL	427
C791 	TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ORG.Y DE LOS NO ESPECIFIC. DE VIAS URINARIAS TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ORG.Y DE LOS NO ESPECIFIC. DE VÍAS URINARIAS	286
C792 	TUMOR MALIGNO SECUNDARIO DE LA PIEL	159
C793 	TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES TUMOR MALIGNO SECUNDARIO DEL ENCÉFALO Y DE LAS MENINGES CEREBRALES	1963
C794 	TUMOR MALIGNO SECUNDARIO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL SISTEMA NERVIOSO	273
C795 	TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA ÓSEA	2299
C796 	TUMOR MALIGNO SECUNDARIO DEL OVARIO	215
C797 	TUMOR MALIGNO SECUNDARIO DE LA GLANDULA SUPRARRENAL TUMOR MALIGNO SECUNDARIO DE LA GLÁNDULA SUPRARRENAL	59
C798 	TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS	2417
C799 	TUMOR MALIGNO SECUNDARIO DE SITIOS NO ESPECIFICADOS	73
C910 	LEUCEMIA LINFOBLASTICA AGUDA [ALL O LLA]	33593
C911 	LEUCEMIA LINFOCITICA CRONICA DE CELULAS DE CELULAS B LEUCEMIA LINFOCITICA CRÓNICA DE CÉLULAS DE CÉLULAS B	1593
C912 	LEUCEMIA LINFOCITICA SUBAGUDA	34
C913 	LEUCEMIA PROLINFOCITICA DE CELULAS B LEUCEMIA PROLINFOCITICA DE CÉLULAS B	75
C914 	LEUCEMIA DE CELULAS VELLOSAS LEUCEMIA DE CÉLULAS VELLOSAS	292
C915 	LEUCEMIA/LINFOMA DE CELULAS T ADULTAS (ASOCIADA A HTLV-1) LEUCEMIA/LINFOMA DE CÉLULAS T ADULTAS (ASOCIADA A HTLV-1)	250
C916 	LEUCEMIA POLIMORFOCITICA DE CELULAS T LEUCEMIA POLIMORFOCÍTICA DE CÉLULAS T	16
C917 	OTRAS LEUCEMIAS LINFOIDES	42
C918 	LEUCEMIA DE CÉLULAS B MADURAS TIPO BURKITT	12
C919 	LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACIÓN	419
C920 	LEUCEMIA MIELOBLASTICA AGUDA [AML O LMA] LEUCEMIA MIELOBLÁSTICA AGUDA [AML O LMA]	9203
C921 	LEUCEMIA MIELOIDE CRONICA [LMC], BCR/ABL-POSITIVA LEUCEMIA MIELOIDE CRÓNICA [LMC], BCR/ABL-POSITIVA	1364
C922 	LEUCEMIA MIELOIDE CRONICA ATIPICA, BCR/ABL-NEGATIVA LEUCEMIA MIELOIDE CRÓNICA ATÍPICA, BCR/ABL-NEGATIVA	60
C923 	SARCOMA MIELOIDE	244
C924 	LEUCEMIA PROMIELOCITICA AGUDA [PML O LPM] LEUCEMIA PROMIELOCÍTICA AGUDA [PML O LPM]	1191
C925 	LEUCEMIA MIELOMONOCITICA AGUDA LEUCEMIA MIELOMONOCÍTICA AGUDA	93
C926 	LEUCEMIA MIELOIDE AGUDA CON ANORMALIDAD 11Q23	15
C927 	OTRAS LEUCEMIAS MIELOIDES	137
C928 	LEUCEMIA MIELOIDE AGUDA CON DISPLASIA MULTILINAJE	39
C929 	LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACION LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACIÓN	791
C930 	LEUCEMIA MONOBLASTICA/MONOCITICA AGUDA LEUCEMIA MONOBLÁSTICA/MONOCÍTICA AGUDA	104
C931 	LEUCEMIA MIELOMONOCITICA CRONICA LEUCEMIA MIELOMONOCÍTICA CRÓNICA	38
C933 	LEUCEMIA MIELOMONOCÍTICA JUVENIL	9
C937 	OTRAS LEUCEMIAS MONOCITICAS	3
C939 	LEUCEMIA MONOCITICA, SIN OTRA ESPECIFICACION LEUCEMIA MONOCÍTICA, SIN OTRA ESPECIFICACIÓN	25
C940 	LEUCEMIA ERITROIDE AGUDA Y ERITROLEUCEMIA	30
C942 	LEUCEMIA MEGACARIOBLASTICA AGUDA	27
C944 	PANMIELOSIS AGUDA CON MIELOFIBROSIS	20
C945 	MIELOFIBROSIS AGUDA	10
C946 	ENFERMEDAD MIELODISPLASICA Y MIELOPROLIFERATIVA, NO CLASIFICADA ENFERMEDAD MIELODISPLÁSICA Y MIELOPROLIFERATIVA, NO CLASIFICADA	38
C947 	OTRAS LEUCEMIAS ESPECIFICADAS	48
C950 	LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO LEUCEMIA AGUDA, CÉLULAS DE TIPO NO ESPECIFICADO	1137
C951 	LEUCEMIA CRONICA, CELULAS DE TIPO NO ESPECIFICADO LEUCEMIA CRÓNICA, CÉLULAS DE TIPO NO ESPECIFICADO	63
C957 	OTRAS LEUCEMIAS DE CELULAS DE TIPO NO ESPECIFICADO OTRAS LEUCEMIAS DE CÉLULAS DE TIPO NO ESPECIFICADO	30
C959 	LEUCEMIA, NO ESPECIFICADA	1267
D020 	CARCINOMA IN SITU DE LA LARINGE	55
D021 	CARCINOMA IN SITU DE LA TRÁQUEA	15
D022 	CARCINOMA IN SITU DEL BRONQUIO Y DEL PULMON CARCINOMA IN SITU DEL BRONQUIO Y DEL PULMÓN	225
D023 	CARCINOMA IN SITU DE OTRAS PARTES DEL SISTEMA RESPIRATORIO Y DEL OÍDO MEDIO	15
D024 	CARCINOMA IN SITU DE ORGANOS RESPIRATORIOS NO ESPECIFICADOS CARCINOMA IN SITU DE ÓRGANOS RESPIRATORIOS NO ESPECIFICADOS	14
D140 	TUMOR BENIGNO DEL OIDO MEDIO, DE LA CAVIDAD NASAL Y DE LOS SENOS PARANASALES TUMOR BENIGNO DEL OÍDO MEDIO, DE LA CAVIDAD NASAL Y DE LOS SENOS PARANASALES	488
D141 	TUMOR BENIGNO DE LA LARINGE	1249
D142 	TUMOR BENIGNO DE LA TRAQUEA TUMOR BENIGNO DE LA TRÁQUEA	29
D143 	TUMOR BENIGNO DE LOS BRONQUIOS Y DEL PULMON TUMOR BENIGNO DE LOS BRONQUIOS Y DEL PULMÓN	1001
D144 	TUMOR BENIGNO DEL SISTEMA RESPIRATORIO, SITIO NO ESPECIFICADO	33
E100 	DIABETES MELLITUS INSULINODEPENDIENTE CON COMA	683
E101 	DIABETES MELLITUS INSULINODEPENDIENTE CON CETOACIDOSIS	6020
E102 	DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES RENALES	367
E103 	DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES OFTALMICAS DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES OFTÁLMICAS	271
E104 	DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NEUROLÓGICAS	442
E105 	DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES CIRCULATORIAS PERIFERICAS DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES CIRCULATORIAS PERIFÉRICAS	1818
E106 	DIABETES MELLITUS INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS	925
